date,model,GraphicsFillPercentage,TopSheetFillPercentage,Columns,Rows,Sheets
2020-12-10,NPAL,65,16.666666666666668,6,2,5
2020-12-10,NPK,55.55555555555556,27.77777777777778,6,2,3
2020-12-10,TLAL,84.54545454545455,8.636363636363637,5,8,11
2020-12-10,TLAS,79.79797979797979,8.080808080808081,5,9,11
2020-12-10,TLAL,90.1562,6.0938,5,8,16
2020-12-10,TLAL,83.4091,8.409090909090908,5,8,11
2020-12-10,NPAL,61.666666666666664,16.666666666666668,6,2,5
2020-12-10,NPAS,70,18.333333333333332,6,2,5
2020-12-10,TLAL,82.04545454545455,8.409090909090908,5,8,11
2020-12-10,TLK,73.33333333333333,12.380952380952381,6,10,7
2020-12-10,TLAS,80.60606060606061,8.080808080808081,5,9,11
2020-12-09,TLAL,84.54545454545455,8.636363636363637,5,8,11
2020-12-09,TLAL,90.35714285714286,4.523809523809524,5,8,21
2020-12-09,TLAL,72.26190476190476,3.6904761904761907,5,8,21
2020-12-09,TLAL,89.79166666666667,8.333333333333334,5,8,12
2020-12-09,TLK,53.75,17.916666666666668,6,10,4
2020-12-09,NPAS,77.77777777777777,16.666666666666668,6,2,6
2020-12-09,NPAL,73.61111111111111,15.277777777777779,6,2,6
2020-12-09,NPAL,73.80952380952381,13.095238095238095,6,2,7
2020-12-09,TLAS,81.41414141414141,8.282828282828282,5,9,11
2020-12-09,NPK,47.22222222222222,25,6,2,3
2020-12-09,TLAL,87.5,8.125,5,8,12
2020-12-09,NPAL,72.61904761904762,13.095238095238095,6,2,7
2020-12-09,NPAL,70,18.333333333333332,6,2,5
2020-12-09,TLAL,81.36363636363636,8.181818181818182,5,8,11
2020-12-09,TLAL,83.4091,8.409090909090908,5,8,11
2020-12-09,TLAL,82.27272727272727,8.409090909090908,5,8,11
2020-12-09,TLAS,81.81818181818181,8.282828282828282,5,9,11
2020-12-09,NPAL,83.33333333333333,14.285714285714286,6,2,7
2020-12-09,NPAS,75,15.277777777777779,6,2,6
2020-12-09,TLAL,80.68181818181819,8.181818181818182,5,8,11
2020-12-09,NPAL,76.04166666666667,11.458333333333334,6,2,8
2020-12-09,TLAL,86.5909,8.863636363636363,5,8,11
2020-12-09,TLK,53.75,17.916666666666668,6,10,4
2020-12-08,TLAS,81.61616161616162,8.282828282828282,5,9,11
2020-12-08,TLAL,80.9091,8.181818181818182,5,8,11
2020-12-08,TLAL,84.54545454545455,8.636363636363637,5,8,11
2020-12-08,NPAL,65,16.666666666666668,6,2,5
2020-12-08,TLK,52.5,17.5,6,10,4
2020-12-08,TLAL,88.63636363636364,8.863636363636363,5,8,11
2020-12-08,TLAS,80.60606060606061,8.080808080808081,5,9,11
2020-12-08,TLAL,87.27272727272727,8.863636363636363,5,8,11
2020-12-08,TLAL,88.86363636363636,9.090909090909092,5,8,11
2020-12-08,TLAL,87.72727272727273,8.863636363636363,5,8,11
2020-12-08,TLAS,85.65656565656566,8.686868686868687,5,9,11
2020-12-08,TLAL,82.72727272727273,8.409090909090908,5,8,11
2020-12-08,TLAL,81.13636363636364,8.181818181818182,5,8,11
2020-12-08,NPAL,82.29166666666667,12.5,6,2,8
2020-12-08,TLAL,90.4688,6.0938,5,8,16
2020-12-07,TLAS,81.21212121212122,8.282828282828282,5,9,11
2020-12-07,TLK,53.75,17.916666666666668,6,10,4
2020-12-07,TLAL,87.04545454545455,8.863636363636363,5,8,11
2020-12-07,NPAS,60,15,6,2,5
2020-12-07,NPK,41.666666666666664,41.666666666666664,6,2,2
2020-12-07,TLAL,87.70833333333333,8.125,5,8,12
2020-12-07,NPAL,83.33333333333333,8.333333333333334,6,2,11
2020-12-07,NPAL,92.1875,6.25,6,2,16
2020-12-07,TLAL,86.04166666666667,7.916666666666667,5,8,12
2020-12-07,NPAL,86.45833333333333,12.5,6,2,8
2020-12-07,NPAS,78.125,11.458333333333334,6,2,8
2020-12-07,NPAL,85.60606060606061,9.090909090909092,6,2,11
2020-12-07,NPAS,83.33333333333333,14.285714285714286,6,2,7
2020-12-07,NPAS,70.83333333333333,15.277777777777779,6,2,6
